Entry	Araport
F4KBP5	AT5G44800;
F4KCC2	AT5G02310;
F4KCE9	AT5G02520;
F4KCH3	AT5G08760;
F4KDA5	AT5G51540;
F4KDF5	AT5G57880;
F4KDH9	AT5G58040;
F4KDN0	AT5G64390;
F4KEV7	AT5G58240;
F4KF14	AT5G64580;
F4KFS7	AT5G24290;
F4KFT7	AT5G32470;
F4KGM7	AT5G03540;
F4KGN5	AT5G03570;
F4KGQ0	AT5G03690;
F4KGW0	AT5G10480;
F4KGW7	AT5G10510;
F4KH86	AT5G24670;
F4KHI3	AT5G46520;
F4KHQ8	AT5G58980;
F4KIX0	AT5G46910;
F8S296	AT3G19190;
H3K2Y6	AT4G00450;
O03042	ATCG00490;
O03986	AT5G56000;
O04017	AT5G53950;
O04019	AT1G09100;
O04023	AT1G09070;
O04046	AT2G23800;
O04130	AT1G17745;
O04147	AT4G18930;
O04151	AT1G56340;
O04153	AT1G08450;
O04157	AT1G22740;
O04196	AT2G39930;
O04197	AT2G39940;
O04200	AT2G39970;
O04202	AT2G39990;
O04209	AT2G40060;
O04211	AT2G40080;
O04291	AT2G34710;
O04292	AT1G30490;
O04294	AT4G02150;
O04308	AT3G16480;
O04314	AT3G16420;
O04331	AT5G40770;
O04350	AT2G30410;
O04373	AT1G51760;
O04378	AT4G17730;
O04379	AT1G48410;
O04468	AT1G65500;
O04479	AT1G65620;
O04482	AT1G65650;
O04492	AT1G09700;
O04499	AT1G09780;
O04523	AT1G70230;
O04529	AT1G70170;
O04567	AT1G27190;
O04616	AT4G01150;
O04663	AT5G35620;
O04714	AT1G48270;
O04719	AT5G57050;
O04846	AT3G52720;
O04905	AT5G26667;
O04921	AT2G30390;
O04951	AT1G69960;
O04983	AT5G35360;
O22040	AT1G09000;
O22042	AT3G06030;
O22043	AT1G49530;
O22049	AT5G64210;
O22056	AT1G08540;
O22059	AT2G46410;
O22130	AT2G45430;
O22131	AT2G45420;
O22133	AT2G45400;
O22145	AT2G45270;
O22149	AT2G45220;
O22152	AT2G45190;
O22179	AT2G23290;
O22197	AT2G40830;
O22203	AT2G40890;
O22208	AT2G40950;
O22212	AT2G41500;
O22213	AT2G41510;
O22218	AT2G41560;
O22229	AT2G41680;
O22259	AT2G47520;
O22263	AT2G47470;
O22264	AT2G47460;
O22265	AT2G47450;
O22267	AT2G47430;
O22268	AT2G47420;
O22286	AT2G39760;
O22287	AT2G39770;
O22315	AT1G02840;
O22446	AT4G38130;
O22456	AT1G24260;
O22467	AT5G58230;
O22476	AT4G39400;
O22527	AT1G19670;
O22558	AT2G17700;
O22607	AT2G19520;
O22609	AT3G27925;
O22666	AT3G08900;
O22682	AT3G03630;
O22703	AT1G60650;
O22715	AT1G60780;
O22752	AT2G17430;
O22755	AT2G17450;
O22763	AT4G02640;
O22765	AT4G02610;
O22768	AT4G02590;
O22775	AT4G02500;
O22781	AT2G33290;
O22784	AT2G33330;
O22785	AT2G33340;
O22788	AT2G33380;
O22793	AT2G33430;
O22806	AT2G33560;
O22808	AT2G33580;
O22822	AT2G43820;
O22823	AT2G43810;
O22832	AT2G43710;
O22833	AT2G43700;
O22850	AT2G43350;
O22854	AT2G43400;
O22873	AT2G40620;
O22893	AT2G47180;
O22898	AT2G47240;
O22901	AT2G47270;
O22914	AT2G47400;
O22921	AT2G30250;
O22932	AT2G30360;
O22943	AT2G41770;
O22975	AT4G24160;
O22993	AT4G23940;
O23044	AT1G05260;
O23066	AT4G00360;
O23078	AT4G00240;
O23141	AT4G34710;
O23144	AT4G27500;
O23147	AT3G57510;
O23160	AT4G37260;
O23166	AT4G37200;
O23171	AT4G37150;
O23179	AT4G37070;
O23180	AT4G37060;
O23181	AT4G37050;
O23212	AT4G36690;
O23240	AT4G36400;
O23249	AT2G27960;
O23252	AT4G18040;
O23254	AT4G13930;
O23255	AT4G13940;
O23273	AT4G14140;
O23299	AT4G14430;
O23304	AT4G14480;
O23310	AT4G14540;
O23349	AT4G14940;
O23372	AT4G15180;
O23393	AT4G15400;
O23403	AT4G15510;
O23404	AT4G15530;
O23463	AT4G16150;
O23507	AT4G16640;
O23512	AT4G16690;
O23523	AT4G16830;
O23530	AT4G16890;
O23553	AT4G17090;
O23627	AT1G29880;
O23628	AT3G54560;
O23629	AT3G45980;
O23647	AT2G36390;
O23653	AT5G14060;
O23654	AT1G78900;
O23661	AT2G33860;
O23674	AT1G02050;
O23676	AT1G02140;
O23680	AT1G02280;
O23702	AT1G01510;
O23710	AT3G27430;
O23712	AT1G47250;
O23715	AT2G27020;
O23722	AT2G38700;
O24407	AT3G04730;
O24408	AT1G51950;
O24409	AT3G15540;
O24410	AT2G46990;
O24412	AT5G05780;
O24454	AT4G39910;
O24456	AT1G18080;
O24495	AT2G43430;
O24496	AT3G10850;
O24527	AT1G69220;
O24606	AT3G20770;
O24610	AT4G15890;
O24617	AT3G18524;
O24621	AT3G53920;
O24629	AT1G64860;
O24646	AT5G11260;
O48528	AT2G42210;
O48533	AT2G42260;
O48538	AT1G64060;
O48573	AT5G44870;
O48593	AT4G17300;
O48626	AT2G32900;
O48652	AT3G15620;
O48676	AT1G24100;
O48709	AT2G26420;
O48711	AT2G26440;
O48723	AT2G26560;
O48726	AT2G26590;
O48737	AT1G03680;
O48741	AT1G03630;
O48773	AT2G32920;
O48782	AT2G26670;
O48791	AT2G26770;
O48802	AT1G62390;
O48814	AT2G39660;
O48847	AT2G32700;
O48849	AT2G32680;
O48915	AT3G20600;
O48917	AT4G33030;
O48946	AT4G32410;
O48947	AT4G39350;
O48963	AT3G45780;
O49006	AT3G14310;
O49048	AT1G77140;
O49139	AT1G80740;
O49196	AT4G39940;
O49203	AT4G11010;
O49255	AT1G69490;
O49339	AT2G30740;
O49354	AT2G30920;
O49394	AT4G31970;
O49397	AT4G31920;
O49403	AT4G18880;
O49429	AT4G20020;
O49432	AT4G20050;
O49434	AT4G20070;
O49447	AT4G28390;
O49472	AT4G19540;
O49482	AT4G34230;
O49484	AT4G34210;
O49485	AT4G34200;
O49499	AT4G34050;
O49500	AT4G34040;
O49519	AT4G18510;
O49523	AT4G18550;
O49543	AT5G65720;
O49545	AT5G65700;
O49562	AT4G21210;
O49595	AT3G51880;
O49596	AT1G20693;
O49597	AT4G35570;
O49623	AT5G64000;
O49627	AT4G22220;
O49660	AT4G22790;
O49686	AT4G17870;
O49687	AT4G17880;
O49696	AT4G17970;
O49717	AT4G21940;
O49782	AT1G18570;
O49839	AT1G14370;
O49840	AT2G02800;
O50008	AT5G17920;
O50055	AT5G15850;
O50061	AT1G07320;
O64399	AT5G60890;
O64425	AT4G03510;
O64470	AT2G19070;
O64471	AT2G19080;
O64474	AT2G19110;
O64483	AT2G19190;
O64495	AT1G04110;
O64503	AT2G02810;
O64517	AT1G79340;
O64530	AT1G79230;
O64587	AT2G34690;
O64614	AT2G18840;
O64629	AT2G45490;
O64642	AT2G45620;
O64644	AT2G45640;
O64645	AT2G45660;
O64647	AT2G45680;
O64682	AT2G34650;
O64697	AT2G34500;
O64722	AT2G02540;
O64728	AT2G02480;
O64743	AT2G34790;
O64750	AT2G34860;
O64752	AT2G34880;
O64763	AT2G35000;
O64765	AT2G35020;
O64782	AT1G61380;
O64784	AT1G61360;
O64816	AT2G23070;
O64817	AT2G23080;
O64825	AT2G23770;
O64827	AT2G23740;
O64879	AT2G44450;
O64883	AT2G44490;
O64884	AT2G44500;
O64903	AT5G63310;
O64948	AT5G47040;
O64973	AT1G12220;
O64989	AT3G50660;
O65020	AT3G51770;
O65041	AT5G19180;
O65201	AT5G65110;
O65202	AT4G16760;
O65258	AT4G00490;
O65272	AT4G00630;
O65282	AT5G20720;
O65312	AT1G02580;
O65351	AT5G67360;
O65355	AT1G78680;
O65359	AT5G26980;
O65375	AT1G12040;
O65390	AT1G11910;
O65396	AT1G11860;
O65398	AT1G11840;
O65440	AT4G20270;
O65493	AT4G35350;
O65502	AT4G35250;
O65508	AT4G36160;
O65517	AT4G36260;
O65554	AT4G30960;
O65570	AT4G30160;
O65572	AT3G63520;
O65583	AT4G26510;
O65639	AT4G36020;
O65660	AT4G39730;
O65683	AT4G34590;
O65717	AT5G53130;
O65718	AT5G15410;
O65719	AT3G09440;
O65782	AT4G31500;
O65797	AT1G06080;
O65896	AT2G19570;
O78310	AT2G28190;
O80337	AT4G17500;
O80339	AT1G50640;
O80340	AT3G15210;
O80345	AT4G28980;
O80358	AT1G52500;
O80366	AT3G57040;
O80396	AT5G40440;
O80397	AT1G51660;
O80434	AT2G38080;
O80438	AT2G38130;
O80448	AT2G38230;
O80449	AT2G38240;
O80450	AT2G38250;
O80452	AT2G38280;
O80458	AT2G23410;
O80460	AT2G23440;
O80462	AT2G23460;
O80467	AT2G23510;
O80472	AT2G23560;
O80476	AT2G23600;
O80501	AT2G44610;
O80507	AT2G44680;
O80528	AT1G09450;
O80536	AT1G09530;
O80548	AT1G22730;
O80560	AT2G43900;
O80562	AT2G43920;
O80565	AT2G43950;
O80568	AT2G43980;
O80575	AT2G44050;
O80588	AT2G44190;
O80605	AT2G02860;
O80612	AT2G02970;
O80632	AT2G39450;
O80642	AT2G39550;
O80653	AT1G77180;
O80673	AT2G41140;
O80722	AT2G47030;
O80725	AT2G47000;
O80775	AT2G34260;
O80786	AT2G07690;
O80796	AT1G65260;
O80800	AT1G65290;
O80803	AT1G65310;
O80809	AT1G65380;
O80816	AT1G65450;
O80823	AT2G45970;
O80837	AT2G45820;
O80840	AT2G45790;
O80842	AT2G45770;
O80845	AT2G45740;
O80852	AT2G30860;
O80860	AT2G30950;
O80871	AT2G30020;
O80883	AT2G32460;
O80885	AT2G32480;
O80888	AT2G32510;
O80902	AT2G38490;
O80920	AT2G38310;
O80928	AT2G37590;
O80931	AT2G37630;
O80939	AT2G37710;
O80944	AT2G37760;
O80952	AT2G39290;
O80963	AT2G39180;
O80982	AT2G26150;
O80983	AT2G26140;
O80988	AT2G26080;
O80992	AT2G26040;
O80996	AT2G26000;
O81001	AT2G22840;
O81045	AT2G03290;
O81062	AT2G03120;
O81069	AT2G28990;
O81077	AT2G29090;
O81108	AT4G37640;
O81126	AT4G31580;
O81127	AT1G23860;
O81148	AT3G22110;
O81149	AT1G53850;
O81208	AT5G02120;
O81210	AT5G51060;
O81223	AT5G24270;
O81235	AT3G10920;
O81242	AT1G48380;
O81270	AT4G26740;
O81275	AT3G60250;
O81283	AT4G02510;
O81291	AT4G02420;
O81313	AT4G00120;
O81346	AT4G39950;
O81417	AT4G02270;
O81439	AT4G04020;
O81445	AT4G17615;
O81472	AT4G08480;
O81645	AT3G57410;
O81770	AT4G31780;
O81775	AT4G31730;
O81787	AT4G35540;
O81821	AT5G16820;
O81833	AT4G27300;
O81836	AT4G27330;
O81845	AT3G54110;
O81851	AT4G19700;
O81852	AT4G19710;
O81862	AT4G19810;
O81893	AT4G33770;
O81905	AT4G21380;
O82132	AT5G05410;
O82162	AT2G35320;
O82166	AT2G35270;
O82171	AT2G35210;
O82175	AT2G35160;
O82191	AT2G19900;
O82204	AT2G19730;
O82226	AT2G23980;
O82230	AT2G24020;
O82234	AT2G24060;
O82239	AT2G47700;
O82244	AT2G47760;
O82245	AT2G47770;
O82261	AT2G47940;
O82265	AT2G47980;
O82266	AT2G47990;
O82268	AT2G31160;
O82277	AT2G31070;
O82289	AT2G35510;
O82302	AT2G35350;
O82312	AT2G25850;
O82318	AT2G25790;
O82330	AT2G14920;
O82339	AT2G46310;
O82345	AT2G46240;
O82381	AT2G29750;
O82390	AT2G29650;
O82392	AT2G29630;
O82399	AT2G22780;
O82480	AT4G28950;
O82481	AT5G62880;
O82486	AT4G10760;
O82503	AT4G11140;
O82504	AT4G11130;
O82533	AT2G36250;
O82587	AT5G23660;
O82645	AT4G33050;
O82656	AT1G71860;
O82660	AT5G23120;
O82663	AT5G66760;
O82730	AT5G20410;
O82733	AT5G43380;
O82734	AT5G27840;
O82741	AT4G22920;
O82743	AT4G22950;
O82775	AT2G45980;
O82794	AT4G24540;
O82796	AT1G18640;
O82798	AT1G10470;
O82804	AT2G25930;
O82811	AT1G08090;
P04778	AT1G29930;
P06525	AT1G77120;
P0C5E2	AT1G18390;
P0C7Q8	AT1G19270;
P0C7R1	AT1G47580;
P0C7R2	AT1G47578;
P0CB22	AT1G05830;
P0CJ46	AT2G37620;
P0CJ48	AT1G29920;
P0CW78	
P0CZ23	AT1G06290;
P0DH86	
P0DH91	AT1G70490;
P0DI10	AT1G05240;
P0DKC5	AT5G50600;
P0DKH5	AT5G45260;
P0DO11	AT1G53885;
P10795	AT1G67090;
P10896	AT2G39730;
P11035	AT1G37130;
P11139	AT1G64740;
P11574	AT1G76030;
P11832	AT1G77760;
P12411	AT1G75780;
P13114	AT5G13930;
P14671	AT5G54810;
P14712	AT1G09570;
P14713	AT2G18790;
P14891	AT1G76490;
P15455	AT5G44120;
P15456	AT1G03880;
P16127	AT4G18480;
P16180	AT1G79850;
P17562	AT4G01850;
P17597	AT3G48560;
P17745	AT4G20360;
P17839	AT4G18960;
P18064	AT2G26300;
P18616	AT4G35800;
P19171	AT3G12500;
P19172	AT5G24090;
P19366	ATCG00480;
P19456	AT4G30190;
P20115	AT2G44350;
P20431	AT5G57350;
P20649	AT2G18960;
P21218	AT4G27440;
P21238	AT2G28000;
P21240	AT1G55490;
P21276	AT4G25100;
P22953	AT5G02500;
P22954	AT5G02490;
P23321	AT5G66570;
P23686	AT1G02500;
P24100	AT3G48750;
P24101	AT3G49110;
P24102	AT2G38380;
P24636	AT5G44340;
P24704	AT1G08830;
P24806	AT4G30270;
P25070	AT5G37770;
P25071	AT2G41100;
P25696	AT2G36530;
P25697	AT1G32060;
P25818	AT2G36830;
P25819	AT4G35090;
P25851	AT3G54050;
P25853	AT4G15210;
P25855	AT2G35370;
P25856	AT3G26650;
P25857	AT1G42970;
P25858	AT3G04120;
P25859	AT3G54180;
P25865	AT1G14400;
P27140	AT3G01500;
P27323	AT5G52640;
P27450	AT4G35600;
P27521	AT3G47470;
P27900	AT3G27920;
P28185	AT1G06400;
P28186	AT3G46060;
P28187	AT2G43130;
P28188	AT1G02130;
P29197	AT3G23990;
P29382	AT5G15800;
P29383	AT2G03710;
P29385	AT2G42830;
P29402	AT5G61790;
P29448	AT3G51030;
P29511	AT4G14960;
P29513	AT1G20010;
P29515	AT2G29550;
P29517	AT4G20890;
P30181	AT5G55300;
P30182	AT3G23890;
P30184	AT2G24200;
P30186	AT3G51260;
P30302	AT2G37180;
P30366	AT2G29400;
P31166	AT1G27450;
P31167	AT3G08580;
P31168	AT1G20440;
P31170	AT4G27670;
P31265	AT3G16640;
P31414	AT1G15690;
P31582	AT5G45130;
P32068	AT5G05730;
P32746	AT5G23300;
P32961	AT3G44310;
P33077	AT5G43700;
P33078	AT1G15580;
P33157	AT3G57260;
P33207	AT1G24360;
P33487	AT4G02980;
P34066	AT5G42790;
P34790	AT4G38740;
P34791	AT3G62030;
P34795	AT5G42740;
P34802	AT4G36810;
P34881	AT5G49160;
P35131	AT5G41700;
P35132	AT4G27960;
P35133	AT5G53300;
P35510	AT2G37040;
P35631	AT1G69120;
P35632	AT3G54340;
P36397	AT2G47170;
P36428	AT1G50200;
P37107	AT5G03940;
P37702	AT5G26000;
P38418	AT3G45140;
P38420	AT4G21710;
P38557	AT3G61650;
P38558	AT5G05620;
P38605	AT2G07050;
P38666	AT3G53020;
P39207	AT4G09320;
P40228	AT5G47080;
P40283	AT5G59910;
P40940	AT2G24765;
P40941	AT5G13490;
P41088	AT3G55120;
P41151	AT4G17750;
P41377	AT1G54270;
P41916	AT5G20010;
P42043	AT5G26030;
P42158	AT4G26100;
P42339	AT1G60490;
P42497	AT4G16250;
P42644	AT5G38480;
P42697	AT5G42080;
P42699	AT1G20340;
P42730	AT1G74310;
P42731	AT4G34110;
P42736	AT3G16770;
P42737	AT5G14740;
P42738	AT3G29200;
P42742	AT3G60820;
P42744	AT1G05180;
P42745	AT2G02760;
P42753	AT4G34160;
P42759	AT1G20450;
P42760	AT1G02930;
P42761	AT2G30870;
P42762	AT5G51070;
P42763	AT1G76180;
P42770	AT3G54660;
P42774	AT4G36730;
P42775	AT4G01120;
P42799	AT5G63570;
P42801	AT4G39800;
P42804	AT1G58290;
P42813	AT2G02990;
P42814	AT2G39780;
P42818	AT3G08730;
